name,totalValueLocked,category,DAO
Poly Network,,DEFI,Poly Network
Boy X Highspeed,,AMM,BXHash
Cream Finance,20800000,AMM,C.R.E.A.M. DAO
Compound Labs,123700000,yield farming,Compound
Venus,22400000,lending,Venus
EasyFi,,lending,EasyFi
Uranium Finance,,AMM,Uranium
bZx,,lending,bZx DAO
PancakeBunny,367048260,yield farming,Bunny
Alphahomora,1079414685,yield farming ,Alpha
Vee Finance,118396092,lending,Vee
Spartan Protocol,5977138,lending,Spartan DAO
Paid Network,,other,Paid Network
Lendf.me,,lending,Lendf.me
Harvest,339048900,yield farming,Harvest
xToken,17788613,yield farming,Buchanan Mandate
Bancor,1568000000,AMM,Bancor DAO
Popsicle Finance,76075108,yield farming,Popsicle Finance
Pickle Finance,98830696,yield farming,PICKLE
Snowdog,0,other,SnowBank DAO
Indexed Finance,,,Indexed Finance
Rari Capital,,,Rari Capital DAO
