address,chain,name,decimal,DAO
0xcbd6cb9243d8e3381fea611ef023e17d1b7aedf0,HECO,BXH,18,BXHash
0x2ba592F78dB6436527729929AAf6c908497cB200,Ethereum ,CREAM,18,C.R.E.A.M. DAO
0xc00e94cb662c3520282e6f5717214004a7f26888,Ethereum ,COMP,18,Compound
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,BSC,XVS,18,Venus
0x00aba6fe5557de1a1d565658cbddddf7c710a1eb,Ethereum,EZ,18,EasyFi
0x670De9f45561a2D02f283248F65cbd26EAd861C8,BSC,U92,18,Uranium
0x28d2E3BB1Ec54A6eE8b3Bee612F03A85d3Ec0C0c,BSC,U235,18,Uranium
0x56d811088235F11C8920698a204A5010a788f4b3,Ethereum,BZRX,18,bZx DAO
0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51,BSC,BUNNY,18,Bunny
0xa1faa113cbe53436df28ff0aee54275c13b40975,BSC,ALPHA,18,Alpha
0x3709E8615E02C15B096f8a9B460ccb8cA8194e86,Ethereum ,VEE,18,Vee
0x3910db0600ea925f63c36ddb1351ab6e2c6eb102,BSC,SPARTA,18,Spartan DAO
0x6589fe1271A0F29346796C6bAf0cdF619e25e58e,Ethereum ,GRAIN,18,Harvest
0x7f3edcdd180dbe4819bd98fee8929b5cedb3adeb,Ethereum ,XTK,18,Buchanan Mandate
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Ethereum ,BNT,18,Bancor DAO
0xf16e81dce15b08f326220742020379b855b87df9,Ethereum ,ICE ,18,Popsicle Finance
0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,Ethereum ,PICKLE,18,PICKLE
0xde9e52f1838951e4d2bb6c59723b003c353979b6,Avalanche ,SDOG,9,SnowBank DAO
0x86772b1409b61c639eaac9ba0acfbb6e238e5f83,Ethereum ,NDX,18,Indexed Finance
0xD291E7a03283640FDc51b121aC401383A46cC623,Ethereum ,RGT,18,Rari Capital DAO
